T,Ms,cv
0.0,1.86368201,1.00038365
10.0,1.84984016,1.00261007
30.0,1.81730095,1.01120415
50.0,1.78524344,1.01931124
70.0,1.75279431,1.02812626
90.0,1.72052284,1.03801562
110.0,1.68411908,1.04841074
130.0,1.64867766,1.05937279
150.0,1.61272956,1.07172772
170.0,1.57776927,1.08513845
190.0,1.54597085,1.09961378
210.0,1.50663886,1.11600815
230.0,1.46060225,1.13473964
250.0,1.41383169,1.15554551
270.0,1.37572712,1.17947956
290.0,1.33591694,1.20652592
310.0,1.28561658,1.2375074
330.0,1.24579512,1.2759602
350.0,1.19541157,1.3212522
370.0,1.13489422,1.37522265
390.0,1.08530612,1.44571193
410.0,1.01238225,1.5334023
430.0,0.914549028,1.64688604
450.0,0.829075681,1.81936026
470.0,0.675134729,2.10755522
490.0,0.32208927,2.12376459
510.0,0.0381981269,1.70880759
530.0,0.0225444095,1.37211732
550.0,0.0180135261,1.22050177
570.0,0.013931448,1.11146876
590.0,0.0123506631,1.02778463
610.0,0.0108542434,0.954448801
630.0,0.01003707,0.8905282
650.0,0.00943261813,0.832135477
670.0,0.0083954391,0.780316953
690.0,0.00811884098,0.732879018
710.0,0.00762634613,0.687467294
730.0,0.00748241692,0.649836581
750.0,0.00701075894,0.612894337
770.0,0.00662678343,0.578249652
800.0,0.00634294547,0.556213181
